,Address,Baths,Beds,Cost,"Sq,Ft",Sq.Ft,Status
27,"4122 Allott Ave, Sherman Oaks, CA", 6 ba ,6 bds ,"$3,495,000",," 5,400 sqft",Coming Soon
28,"383 S Avenue 52, Los Angeles, CA", 2 ba ,4 bds ,"$725,000",," 1,852 sqft",House For Sale
29,"312 S Miraleste Dr UNIT 99, San Pedro, CA", 1 ba ,,"$289,000",, 792 sqft,Condo For Sale
30,"1160 Mcclellan Dr, Los Angeles, CA", 5 ba ,4 bds ,"$4,299,000",," 5,650 sqft",House For Sale
31,"11910 Mcdonald St, Culver City, CA", 2 ba ,3 bds ,"$1,399,000",," 1,522 sqft",House For Sale
32,"7936 Altavan Ave, Los Angeles, CA", 6 ba ,5 bds ,"$2,195,000",," 4,133 sqft",House For Sale
33,"8654 Edwin Dr, Los Angeles, CA", 4 ba ,5 bds ,"$2,250,000",," 4,096 sqft",House For Sale
34,"849 S Broadway APT 1101, Los Angeles, CA", 3 ba ,3 bds ,"$2,500,000",," 2,810 sqft",Condo For Sale
35,"14521 Benefit St UNIT 103, Sherman Oaks, CA", 2 ba ,2 bds ,"$580,000",," 1,396 sqft",Condo For Sale
36,"14681 Albright St, Pacific Palisades, CA", 4 ba ,5 bds ,"$3,795,000",," 3,458 sqft",House For Sale
37,"13080 Pacific Promenade APT 114, Playa Vista, CA", 3 ba ,2 bds ,"$989,000",," 1,426 sqft",Condo For Sale
38,"8036 El Manor Ave, Los Angeles, CA", 3 ba ,5 bds ,"$1,895,000",," 2,406 sqft",House For Sale
39,"6722 Varna Ave, Van Nuys, CA", 2 ba ,3 bds ,"$724,900",," 1,606 sqft",House For Sale
40,"9112 Encino Ave, Northridge, CA", 3 ba ,4 bds ,"$815,000",," 2,170 sqft",House For Sale
41,"12429 Wagner St, Los Angeles, CA", 1 ba ,2 bds ,"$799,500",, 768 sqft,House For Sale
42,"7378 W 82nd St, Los Angeles, CA", 3 ba ,4 bds ,"$1,350,000",," 2,182 sqft",House For Sale
43,"18626 Vincennes St, Northridge, CA", 2 ba ,3 bds ,"$700,000",," 1,893 sqft",House For Sale
44,"5215 Emporia Ave, Culver City, CA", 3 ba ,4 bds ,"$1,298,000",," 2,004 sqft",House For Sale
45,"8009 Emerson Ave, Los Angeles, CA", 2 ba ,3 bds ,"$1,350,000",," 1,704 sqft",House For Sale
46,"12912 Gilmore Ave, Los Angeles, CA", 2 ba ,2 bds ,"$1,395,000",," 1,401 sqft",House For Sale
47,"6948 Saint Estaban St, Tujunga, CA", 2 ba ,2 bds ,"$724,900",," 1,561 sqft",House For Sale
48,"4430 Laurelgrove Ave, Studio City, CA", 5 ba ,5 bds ,"$1,750,000",," 2,957 sqft",House For Sale
49,"15072 Rayneta Dr, Sherman Oaks, CA", 3 ba ,4 bds ,"$1,338,800",," 2,580 sqft",House For Sale
50,"19544 Tribune St, Northridge, CA", 5 ba ,6 bds ,"$1,389,000",," 4,061 sqft",House For Sale
51,"4619 Roma Ct, Marina Del Rey, CA", 6 ba ,4 bds ,"$5,950,000",," 6,539 sqft",House For Sale
52,"3304 Bennett Dr, Los Angeles, CA", 5 ba ,4 bds ,"$1,900,000",," 3,067 sqft",House For Sale
53,"1155 S Grand Ave APT 906, Los Angeles, CA", 1 ba ,,"$649,000",, 900 sqft,Condo For Sale
54,"2319 S Redondo Blvd, Los Angeles, CA", 1 ba ,3 bds ,"$599,999",, 800 sqft,House For Sale
